term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Peritoneal necrosis,Gastrointestinal disorders,CTCAE v5.0,,-,-,Tube feeding or TPN indicated; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a necrotic process occurring in the peritoneum.,-,39
Proctitis,Gastrointestinal disorders,CTCAE v5.0,,"Rectal discomfort, intervention not indicated","Symptomatic (e.g., rectal discomfort, passing blood or mucus); medical intervention indicated; limiting instrumental ADL",Severe symptoms; fecal urgency or stool incontinence; limiting self care ADL,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation of the rectum.,-,39
Rectal fissure,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic,Symptomatic,Invasive intervention indicated,-,-,A disorder characterized by a tear in the lining of the rectum.,-,39
Rectal fistula,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the rectum and another organ or anatomic site.,-,39
Rectal hemorrhage,Gastrointestinal disorders,CTCAE v5.0,,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the rectal wall and discharged from the anus.,-,39
Rectal mucositis,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL,Severe symptoms; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by ulceration or inflammation of the mucous membrane of the rectum.,-,39
Rectal necrosis,Gastrointestinal disorders,CTCAE v5.0,,-,-,Tube feeding or TPN indicated; invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a necrotic process occurring in the rectal wall.,-,40
Rectal obstruction,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; limiting instrumental ADL,Hospitalization indicated; invasive intervention indicated; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the intestinal contents in the rectum.,-,40
Rectal pain,Gastrointestinal disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the rectal region.,-,40
Rectal perforation,Gastrointestinal disorders,CTCAE v5.0,,-,Invasive intervention not indicated,Invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a rupture in the rectal wall.,-,40
Rectal stenosis,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function,Severely altered GI function; tube feeding or hospitalization indicated; elective operative intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a narrowing of the lumen of the rectum.,-,40
Rectal ulcer,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, diarrhea)",Severely altered GI function; TPN indicated; elective invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the rectum.",-,40
Retroperitoneal hemorrhage,Gastrointestinal disorders,CTCAE v5.0,,-,Self-limited; intervention indicated,Transfusion indicated; invasive intervention indicated; hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the retroperitoneal area.,-,41
Salivary duct inflammation,Gastrointestinal disorders,CTCAE v5.0,,"Slightly thickened saliva; slightly altered taste (e.g., metallic)","Thick, ropy, sticky saliva; markedly altered taste; alteration in diet indicated; secretion-induced symptoms; limiting instrumental ADL","Acute salivary gland necrosis; severe secretion-induced symptoms (e.g., thick saliva/oral secretions or gagging); tube feeding or TPN indicated; limiting self care ADL",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by inflammation of the salivary duct.,-,41
Salivary gland fistula,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between a salivary gland and another organ or anatomic site.,-,41
Small intestinal mucositis,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic or mild symptoms; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL,"Severe pain; interfering with oral intake; tube feeding, TPN or hospitalization indicated; limiting self care ADL",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by ulceration or inflammation of the mucous membrane of the small intestine.,-,41
Small intestinal obstruction,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; limiting instrumental ADL,Hospitalization indicated; invasive intervention indicated; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by blockage of the normal flow of the intestinal contents of the small intestine.,-,41
Small intestinal perforation,Gastrointestinal disorders,CTCAE v5.0,,-,Invasive intervention not indicated,Invasive intervention indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a rupture in the small intestine wall.,-,41
Small intestinal stenosis,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function,"Symptomatic and severely altered GI function; tube feeding, TPN or hospitalization indicated; non- emergent operative intervention indicated",Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a narrowing of the lumen of the small intestine.,-,42
Small intestine ulcer,Gastrointestinal disorders,CTCAE v5.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; altered GI function; limiting instrumental ADL,Severely altered GI function; TPN indicated; elective invasive intervention indicated; limiting self care ADL,Life-threatening consequences; urgent operative intervention indicated,Death,"A disorder characterized by a circumscribed, erosive lesion on the mucosal surface of the small intestine.",-,42
Stomach pain,Gastrointestinal disorders,CTCAE v5.0,,Mild pain,Moderate pain; limiting instrumental ADL,Severe pain; limiting self care ADL,-,-,A disorder characterized by a sensation of marked discomfort in the stomach.,-,42
